[2026-04-20 12:41:23,321] 16root - INFO - Initiate the data ingestion
[2026-04-20 12:41:24,954] 65root - INFO - Performed train test split on the dataframe
[2026-04-20 12:41:24,954] 67root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-04-20 12:41:24,955] 75root - INFO - Exporting train and test file path.
[2026-04-20 12:41:25,002] 84root - INFO - Exported train and test file path.
[2026-04-20 12:41:25,003] 18root - INFO - Data ingestion completed and artifact is created
[2026-04-20 12:41:25,008] 25root - INFO - Initiate the data validation
[2026-04-20 12:41:25,088] 32root - INFO - Required number of columns:2
[2026-04-20 12:41:25,088] 33root - INFO - Data frame has columns:31
[2026-04-20 12:41:25,091] 32root - INFO - Required number of columns:2
[2026-04-20 12:41:25,091] 33root - INFO - Data frame has columns:31
[2026-04-20 12:41:25,229] 27root - INFO - Data validation completed
[2026-04-20 12:41:25,229] 30root - INFO - Initiate the data transformation
[2026-04-20 12:41:25,229] 63root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-04-20 12:41:25,229] 65root - INFO - Starting data transformation
[2026-04-20 12:41:25,258] 48root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-04-20 12:41:25,258] 53root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-04-20 12:41:25,270] 46root - INFO - Entered the save_object method of MainUtils class
[2026-04-20 12:41:25,273] 50root - INFO - Exited the save_object method of MainUtils class
[2026-04-20 12:41:25,273] 46root - INFO - Entered the save_object method of MainUtils class
[2026-04-20 12:41:25,278] 50root - INFO - Exited the save_object method of MainUtils class
[2026-04-20 12:41:25,279] 36root - INFO - Data transformation completed
[2026-04-20 12:41:25,280] 39root - INFO - Initiate the model trainer component
[2026-04-20 12:45:54,486] 46root - INFO - Entered the save_object method of MainUtils class
[2026-04-20 12:45:54,487] 50root - INFO - Exited the save_object method of MainUtils class
[2026-04-20 12:45:54,487] 46root - INFO - Entered the save_object method of MainUtils class
[2026-04-20 12:45:54,507] 50root - INFO - Exited the save_object method of MainUtils class
[2026-04-20 12:45:54,507] 150root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_20_2026_12_41_19\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9916203937405351, precision_score=0.990520371117386, recall_score=0.9927228623408126), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9740847387906212, precision_score=0.9696969696969697, recall_score=0.9785123966942149))
[2026-04-20 12:45:54,509] 43root - INFO - Model trainer component completed
